epoch,train_acc_rel,train_acc_norel,test_acc_rel,test_acc_norel
1,66.08527922926191,55.068174395819725,73.99193548387096,60.131048387096776
2,75.1500244937949,66.50779719137819,77.31854838709677,65.7258064516129
3,76.08180927498367,66.55678478118877,78.07459677419355,67.4899193548387
4,76.13385858915741,71.83417700849118,77.11693548387096,94.80846774193549
5,76.47677171783148,96.79437459177008,77.92338709677419,98.3366935483871
6,76.46350424559111,98.0282495101241,78.47782258064517,97.98387096774194
7,76.7819235793599,98.43545885042455,78.52822580645162,98.08467741935483
8,77.07993141737427,98.6120182887002,78.83064516129032,97.73185483870968
9,77.6861528412802,98.77531025473547,79.63709677419355,99.04233870967742
10,78.26379817112998,98.84062704114957,79.48588709677419,99.39516129032258
11,78.1852139124755,98.89573807968648,79.28427419354838,99.14314516129032
12,78.65876061397779,99.01616590463749,79.88911290322581,99.19354838709677
13,79.32825767472241,99.1110793598955,80.44354838709677,98.1350806451613
14,79.81507184846505,99.14884062704115,82.15725806451613,99.04233870967742
15,80.26820705421294,99.21823971260613,82.76209677419355,98.89112903225806
16,80.42435499673417,99.1917047681254,81.70362903225806,99.14314516129032
17,80.71215708687133,99.2815153494448,80.69556451612904,98.94153225806451
18,80.97852710646636,99.31723546701502,80.9475806451613,99.79838709677419
19,81.28674069235794,99.33254408883083,82.25806451612904,99.34475806451613
20,83.3717749836708,99.35193500979751,83.87096774193549,98.84072580645162
21,86.25387818419334,99.35499673416068,86.49193548387096,99.44556451612904
22,89.72995591116917,99.40398432397126,90.5241935483871,99.19354838709677
23,93.31217341606794,99.41316949706075,93.49798387096774,99.49596774193549
24,95.2675947093403,99.46215708687133,94.00201612903226,99.29435483870968
25,96.12487753102548,99.42949869366427,94.20362903225806,99.19354838709677
26,96.70864630960156,99.44174559111691,95.3125,99.29435483870968
27,97.02706564337035,99.4805274330503,94.75806451612904,99.49596774193549
28,97.34752612671457,99.50502122795558,94.45564516129032,99.19354838709677
29,97.68227465708686,99.48256858262573,95.26209677419355,99.8991935483871
30,97.97313847158719,99.55604996734161,95.86693548387096,99.34475806451613
