epoch,train_acc_rel,train_acc_norel,test_acc_rel,test_acc_norel
20,86.29878347,99.19986937,83.0141129,98.03427419
21,87.80719301,99.39173743,83.41733871,98.99193548
22,89.1757838,99.45807479,85.43346774,98.68951613
23,91.08936153,99.65810745,86.39112903,98.94153226
24,92.6692113,99.69382756,85.38306452,99.04233871
25,98.30176355,99.83364631,86.89516129,99.34475806
26,98.55996897,99.8948808,87.5,99.34475806
